NameTitle,CDFirstName,CDLastName,EduBackGround,Career,PartyName
นางสาว,กฤษอนงค์,สุวรรณวงศ์,สำเร็จการศึกษาระดับปริญญาตรีด้านสื่อสารมวลชน มหาวิทยาลัยรามคำแหง,หัวหน้าพรรคภาคีเครือข่ายไทย,ภาคีเครือข่ายไทย
นาย,อนุทิน,ชาญวีรกุล,สำเร็จการศึกษาด้านวิศวกรรมศาสตร์ มหาวิทยาลัย Hoftra ประเทศสหรัฐอเมริกา,หัวหน้าพรรคภูมิใจไทย,ภูมิใจไทย
นาย,อภิรัต,ศิรินาวิน,สำเร็จการศึกษาปริญญาตรีระดับปริญญาตรีสาขาวิทยาการคอมพิวเตอร์ มหาวิทยาลัยหอการค้าไทย,หัวหน้าพรรคมหาชน,มหาชน
นาย,พาลินี,งามพริ้ง,สำเร็จการศึกษาระดับปริญญาตรีคณะนิเทศศาสตร์ มหาวิทยาลัยกรุงเทพ,ประธานยุทธศาสตร์ พรรคมหาชน,มหาชน
นาย,สุปกิจ,คชเสนี,NULL,สมาชิกพรรคมหาชน,มหาชน
นาย,มิ่งขวัญ,แสงสุวรรณ์,สำเร็จการศึกษาปริญญาตรี นิติศาสตรบัณฑิต จุฬาลงกรณ์มหาวิทยาลัย,หัวหน้าพรรคเศรษฐกิจใหม่,เศรษฐกิจใกม่
นาย,เอนก,พันธุรัตน์,สำเร็จการศึกษาปริญญาตรี มหาวิทยาลัยปทุมธานี,ผู้อำนวยการสถานีเอนกเรดิโอ,สยามพัฒนา
นาย,สมศักดิ์,โกศัยสุข,สำเร็จการศึกษาระดับปริญญาตรี นิติศาสตร์บัณฑิต มหาวิทยาลัยสุโขทัยธรรมาธิราช,หัวหน้าพรรคพรรคสังคมประชาธิปไตยไทย,สังคมประชาธิปไตยไทย
พลตำรวจเอก,เสรีพิศุทธ์,เตมียเวส,สำเร็จการศึกษาจากโรงเรียนเตรียมทหาร รุ่นที่ 8 (ตท.8),หัวหน้าพรรคเสรีรวมไทย,เสรีรวมไทย
นาย,ธนาธร,จึงรุ่งเรืองกิจ,สำเร็จการศึกษาระดับปริญญาตรี ภาควิชาวิศวกรรมเครื่องกล คณะวิศวกรรมศาสตร์ มหาวิทยาลัยธรรมศาสตร์ ,หัวหน้าพรรคอนาคตใหม่,อนาคตใหม่
