ElecNo,MPNo,PartyName,NameTitle,MPFirstName,MPLastName,PartyStatus
6,8,อนาคตใหม่,นาย,คริส ,โปตระนันทน์,ยังดำเนินการอยู่
6,9,ชาติไทยพัฒนา,นาย,พีรชาติ ,ยุกตานนท์,ยังดำเนินการอยู่
6,10,ประชาธิปัตย์,นาย,อรรถวิชช์,สุวรรณภักดี,ยังดำเนินการอยู่
6,11,พลังประชารัฐ,นางสาว,ภาดาท์ ,วรกานนท์,ยังดำเนินการอยู่
6,12,เพื่อชาติ,นาย,ไชยา ,ประดิษฐธรรม,ยังดำเนินการอยู่
6,13,ประชาชาติ,นาย,วิโรจน์,เจษฎาดิลก,ยังดำเนินการอยู่
6,14,ประชาภิวัฒน์,นาย,เอนก,นาคดิลก,ยังดำเนินการอยู่
6,15,พลังท้องถิ่นไท,นาย,รุจชรินทร์,ทองใหญ่,ยังดำเนินการอยู่
6,16,ไทยศรีวิไลย์,นาย,พิชัย,บุราวาศ,ยังดำเนินการอยู่
6,17,ภราดรภาพ,นาย,สุรภาส,วิเชียร,ยังดำเนินการอยู่
6,18,รักษ์ผืนป่าประเทศไทย,พลตำรวจตรี,สุริยะ,อยู่เย็น,ยังดำเนินการอยู่
6,19,เพื่อแผ่นดิน,นาย,ประวีร์,จินดาวรรณ,ยังดำเนินการอยู่
6,20,เศรษฐกิจใหม่,นาง,สุมณฑา,อ่อนนุ่ม,ยังดำเนินการอยู่
6,21,พลังชาติไทย,นาง,อังศุธร,อังคะพินทุ,ยังดำเนินการอยู่
6,22,ครูไทยเพื่อประชาชน,นาย,พิสิษฐ์,พิพัฒน์กุลบุตร,ยังดำเนินการอยู่
6,23,พลังรัก,นาย,ภัทรพงศ์,วนะไชยเกียรติ,ยังดำเนินการอยู่
6,24,พลังปวงชนไทย,นาย,ขรรค์ชัย,แก้วเนตร,ยังดำเนินการอยู่
6,25,มหาชน,นาง,นภารำไพ,ณ นคร,ยังดำเนินการอยู่
6,26,พลังไทสร้างชาติ,นาย,มิตรพล,สิทธิกูล,ยังดำเนินการอยู่
6,27,พลเมืองไทย,นางสาว,ฐาปนี,โปร่งรัศมี,ยังดำเนินการอยู่
6,28,มติประชา,นาย,ปริญญา,งามพัฒนพงศ์ชัย,ยังดำเนินการอยู่
6,29,ภาคีเครือข่ายไทย,นาย,คชษิน,กาดัสซา,ยังดำเนินการอยู่
